"Model","Scenario","Region","Variable","Unit","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"IIASA GDP 2023","SSP1","United Kingdom","GDP|PPP","billion USD_2017/yr",3236.79899188594,3439.88342503575,3630.42226940953,3853.53195311728,4125.96747989628,4372.01164623385,4594.9201280225,4840.67422442124,5150.33464820703,5480.5786043139,5835.02021750743,6223.02036786244,6622.65012430255,7011.77790512108,7350.73970809291,7448.93039226415
"IIASA GDP 2023","SSP3","United Kingdom","GDP|PPP","billion USD_2017/yr",3236.79899188594,3385.75126149599,3514.78900088261,3653.78829836914,3823.07133007957,3953.27425570178,4073.04983300248,4176.45206191443,4277.92959074941,4366.61845473459,4474.82401275934,4597.69180627753,4724.60458480499,4856.96633539269,4989.33575486914,4860.23367492356
"© SSP Scenario Explorer https://data.ece.iiasa.ac.at/ssp"
