"Table 5: Local Authority: Gross domestic product (GDP) at current market prices, pounds million",,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITL1 Region,LA code,LA name,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
West Midlands ,E07000222,Warwick,"2,646","2,815","2,891","2,936","3,096","3,438","3,580","3,713","3,920","3,990","4,131","4,076","4,216","4,425","4,653","5,143","5,614","6,117","6,322","7,060","7,023","7,170","6,920","6,743","8,018","9,397"
West Midlands ,E06000020,Telford and Wrekin,"2,584","2,686","2,715","2,863","2,947","3,073","3,239","3,339","3,451","3,532","3,647","3,516","3,628","3,787","3,908","4,090","4,194","4,253","4,637","4,813","4,973","5,248","5,258","5,935","6,208","6,400"
West Midlands ,E06000051,Shropshire,"3,773","3,857","3,987","4,153","4,400","4,648","4,867","5,102","5,283","5,435","5,743","5,473","5,655","5,858","5,974","6,251","6,489","6,568","6,801","6,967","7,278","7,378","7,003","7,990","8,462","8,992"
West Midlands ,E06000021,Stoke-on-Trent,"3,179","3,211","3,276","3,370","3,536","3,732","4,000","4,184","4,366","4,527","4,805","4,716","4,831","5,042","5,181","5,395","5,479","5,602","5,621","5,988","6,371","6,591","6,460","7,167","7,160","7,798"
West Midlands ,E07000192,Cannock Chase,"1,228","1,249","1,291","1,360","1,438","1,504","1,565","1,659","1,701","1,746","1,787","1,652","1,723","1,791","1,840","1,920","2,003","2,109","2,147","2,372","2,471","2,458","2,255","2,510","2,592","2,840"
West Midlands ,E07000193,East Staffordshire,"2,383","2,411","2,481","2,515","2,675","2,819","3,064","3,207","3,272","3,295","3,431","3,124","3,375","3,566","3,613","3,701","3,726","3,860","3,898","3,779","3,902","4,096","3,697","4,299","4,504","4,822"
West Midlands ,E07000194,Lichfield,"1,324","1,369","1,403","1,464","1,565","1,664","1,760","1,821","1,891","1,943","2,037","1,921","2,001","2,045","2,152","2,248","2,376","2,593","2,689","2,798","2,668","2,804","2,685","3,108","3,274","3,481"
West Midlands ,E07000195,Newcastle-under-Lyme,"1,425","1,463","1,484","1,544","1,617","1,704","1,816","1,906","1,947","2,008","2,103","2,016","2,099","2,190","2,165","2,236","2,304","2,377","2,458","2,509","2,587","2,690","2,489","2,855","2,941","3,180"
West Midlands ,E07000196,South Staffordshire,"1,173","1,203","1,234","1,270","1,345","1,396","1,445","1,482","1,538","1,571","1,626","1,537","1,617","1,685","1,676","1,739","1,784","1,863","1,950","2,095","2,161","2,316","2,300","2,591","2,541","2,715"
West Midlands ,E07000197,Stafford,"1,908","1,910","1,978","2,053","2,154","2,275","2,343","2,420","2,535","2,639","2,778","2,727","2,860","2,935","2,985","3,114","3,242","3,308","3,495","3,617","3,660","3,752","3,552","4,015","4,053","4,289"
West Midlands ,E07000198,Staffordshire Moorlands,"1,011","1,034","1,032","1,052","1,106","1,180","1,244","1,280","1,334","1,382","1,435","1,318","1,409","1,476","1,491","1,642","1,688","1,631","1,627","1,737","1,834","1,837","1,704","1,983","2,024","2,166"
West Midlands ,E07000199,Tamworth,899,928,950,"1,000","1,045","1,102","1,169","1,221","1,256","1,294","1,322","1,233","1,286","1,332","1,287","1,316","1,387","1,512","1,584","1,747","1,888","1,918","1,823","2,233","2,280","2,265"
West Midlands ,E08000025,Birmingham,"14,976","15,501","15,940","16,762","17,388","18,401","19,598","20,592","21,156","22,254","22,621","22,264","23,109","23,741","24,321","25,485","26,534","27,405","28,791","29,522","30,739","31,496","29,560","32,280","35,353","38,902"
West Midlands ,E08000029,Solihull,"4,557","4,631","4,877","5,108","5,179","5,369","5,508","5,742","5,866","6,099","6,086","5,692","6,169","6,373","6,683","6,966","7,339","8,035","9,063","9,887","10,184","10,506","9,075","9,541","10,783","11,614"
West Midlands ,E08000026,Coventry,"5,385","5,529","5,686","5,938","6,033","6,308","6,599","6,972","7,075","7,459","7,729","7,675","8,106","8,319","8,499","8,737","9,395","9,969","10,919","10,752","10,937","11,191","10,328","11,147","11,902","12,884"
West Midlands ,E08000027,Dudley,"3,666","3,797","3,865","4,040","4,164","4,256","4,417","4,559","4,694","4,895","4,925","4,615","4,814","4,964","5,165","5,282","5,420","5,471","5,669","5,890","5,988","6,168","5,699","6,339","6,850","7,111"
West Midlands ,E08000028,Sandwell,"4,097","4,159","4,204","4,299","4,470","4,668","4,817","4,980","5,192","5,264","5,348","5,209","5,333","5,363","5,561","5,760","6,236","6,455","6,760","7,082","7,340","7,344","7,086","7,378","7,773","8,346"
West Midlands ,E08000030,Walsall,"3,003","3,089","3,138","3,221","3,313","3,460","3,622","3,772","3,850","3,992","4,051","3,810","4,021","4,276","4,444","4,698","4,997","5,091","5,344","5,430","5,447","5,454","4,985","5,592","5,930","6,348"
West Midlands ,E08000031,Wolverhampton,"3,319","3,458","3,554","3,705","3,838","3,976","4,154","4,348","4,482","4,648","4,736","4,472","4,605","4,816","4,809","4,865","4,966","4,826","5,165","5,503","5,804","5,986","5,554","6,246","6,799","7,240"
East ,E06000032,Luton,"3,142","3,273","3,559","3,724","3,822","4,003","4,060","4,221","4,360","4,641","4,860","4,523","4,620","4,681","4,848","5,349","5,923","6,216","6,328","6,666","6,747","7,024","5,910","6,314","7,103","7,654"
East ,E06000055,Bedford,"2,271","2,392","2,501","2,631","2,745","2,891","2,987","3,211","3,310","3,426","3,584","3,447","3,458","3,474","3,562","3,699","3,950","4,127","4,274","4,597","4,653","4,887","4,451","5,001","5,521","5,847"
East ,E06000056,Central Bedfordshire,"3,272","3,418","3,633","3,763","3,937","4,108","4,193","4,421","4,494","4,638","4,821","4,583","4,749","4,924","5,098","5,462","5,783","6,042","6,454","6,979","7,065","7,036","6,327","7,040","7,740","8,521"
East ,E07000095,Broxbourne,"1,488","1,604","1,684","1,751","1,792","1,913","1,937","2,091","2,208","2,340","2,573","2,435","2,370","2,381","2,507","2,619","2,772","2,743","2,536","2,627","2,656","2,649","2,447","2,691","2,781","2,938"
East ,E07000099,North Hertfordshire,"1,926","2,031","2,176","2,245","2,306","2,448","2,503","2,673","2,720","2,784","2,890","2,805","2,898","2,974","3,052","3,264","3,496","3,560","3,658","3,868","4,016","4,120","4,117","4,618","4,780","5,363"
East ,E07000241,Welwyn Hatfield,"2,506","2,711","2,807","2,941","3,084","3,252","3,392","3,692","3,744","3,874","3,981","3,725","3,665","3,522","3,551","3,843","4,090","4,176","4,295","4,778","5,121","6,009","5,997","6,527","6,588","7,038"
East ,E07000242,East Hertfordshire,"2,210","2,441","2,570","2,676","2,746","2,895","2,958","3,252","3,521","3,737","4,211","3,966","3,767","3,674","3,429","3,468","3,689","3,770","4,294","4,343","4,371","4,602","4,354","4,875","5,096","5,957"
East ,E07000243,Stevenage,"1,604","1,721","1,783","1,832","1,891","2,020","2,159","2,370","2,415","2,481","2,562","2,370","2,362","2,348","2,486","2,636","2,706","2,777","2,785","2,979","2,916","2,956","2,655","2,912","3,170","3,450"
East ,E07000096,Dacorum,"2,362","2,474","2,611","2,734","2,852","3,012","3,145","3,318","3,404","3,566","3,710","3,527","3,575","3,704","3,739","3,858","4,014","4,180","4,339","4,803","4,934","5,180","5,185","5,762","6,276","6,976"
East ,E07000098,Hertsmere,"2,074","2,181","2,242","2,361","2,372","2,516","2,644","2,861","2,901","3,056","3,206","3,208","3,150","3,182","3,307","3,547","3,781","3,903","4,242","4,651","4,687","4,771","4,531","5,356","5,560","5,684"
East ,E07000102,Three Rivers,"1,922","2,030","2,091","2,229","2,305","2,499","2,611","2,680","2,666","2,814","2,882","2,756","2,828","2,971","2,930","3,301","3,706","3,859","4,037","4,522","4,804","5,042","4,630","4,849","5,024","5,642"
East ,E07000103,Watford,"2,043","2,140","2,270","2,401","2,520","2,707","2,890","3,040","3,160","3,349","3,472","3,405","3,378","3,458","3,662","4,010","4,338","4,814","5,171","5,702","5,630","5,514","4,857","5,265","5,445","5,668"
East ,E07000240,St Albans,"2,196","2,289","2,469","2,548","2,670","2,775","2,951","3,134","3,205","3,346","3,435","3,224","3,346","3,407","3,442","3,614","3,845","4,387","4,565","4,778","4,883","5,074","4,769","5,176","5,684","5,810"
East ,E06000033,Southend-on-Sea,"1,770","1,843","1,922","2,040","2,132","2,298","2,413","2,491","2,642","2,748","2,833","2,810","2,882","2,923","3,021","3,067","3,191","3,229","3,351","3,576","3,689","3,621","3,223","3,615","3,747","3,999"
East ,E06000034,Thurrock,"2,358","2,344","2,381","2,548","2,586","2,935","3,044","3,216","3,332","3,464","3,514","3,444","3,565","3,449","3,577","3,519","3,793","4,064","4,134","4,609","4,838","4,972","4,682","5,286","6,140","6,685"
East ,E07000067,Braintree,"1,821","1,835","1,953","2,068","2,099","2,299","2,360","2,430","2,520","2,596","2,645","2,535","2,658","2,669","2,727","2,831","3,124","3,395","3,868","4,356","4,269","4,050","3,677","4,262","4,601","4,853"
East ,E07000071,Colchester,"2,236","2,286","2,431","2,617","2,699","2,929","3,010","3,153","3,284","3,429","3,526","3,494","3,678","3,785","3,979","4,030","4,212","4,482","4,642","4,939","5,168","5,422","4,869","5,408","5,896","6,575"
East ,E07000076,Tendring,"1,233","1,263","1,301","1,373","1,402","1,527","1,596","1,641","1,681","1,734","1,818","1,696","1,785","1,815","1,832","1,880","1,942","2,040","2,128","2,279","2,324","2,431","2,278","2,552","2,761","3,022"
East ,E07000072,Epping Forest,"1,889","1,986","2,082","2,247","2,390","2,596","2,667","2,744","2,915","3,071","3,088","3,040","3,203","3,201","3,209","3,224","3,411","3,762","4,105","4,434","4,556","4,591","4,077","4,594","4,957","5,088"
East ,E07000073,Harlow,"1,547","1,569","1,626","1,722","1,798","1,987","2,082","2,148","2,231","2,303","2,317","2,103","2,219","2,120","2,071","2,148","2,174","2,264","2,356","2,529","2,605","2,461","2,241","2,589","2,777","3,012"
East ,E07000077,Uttlesford,"1,253","1,334","1,418","1,484","1,543","1,671","1,704","1,769","1,819","1,905","1,965","1,915","2,026","2,064","2,132","2,306","2,374","2,460","2,533","2,656","2,735","2,890","2,503","2,888","3,286","3,705"
East ,E07000068,Brentwood,"1,437","1,467","1,585","1,726","1,780","1,922","1,944","2,034","2,146","2,270","2,279","2,215","2,300","2,307","2,204","2,294","2,760","3,175","3,285","3,593","3,734","3,815","3,152","3,465","3,831","3,851"
East ,E07000070,Chelmsford,"2,858","2,895","3,054","3,287","3,370","3,658","3,759","3,863","4,035","4,195","4,195","4,200","4,291","4,345","4,629","4,715","4,991","4,956","5,078","5,353","5,590","5,881","5,655","6,394","7,072","7,524"
East ,E07000074,Maldon,681,698,742,783,804,869,885,901,938,959,"1,004",948,"1,004","1,024","1,041","1,087","1,124","1,143","1,188","1,284","1,289","1,341","1,263","1,394","1,529","1,601"
East ,E07000066,Basildon,"3,141","3,165","3,422","3,606","3,706","4,020","4,063","4,215","4,376","4,540","4,793","4,451","4,782","4,837","5,092","5,420","5,654","5,587","5,865","6,093","6,335","6,722","6,462","7,073","7,893","7,896"
East ,E07000069,Castle Point,653,676,709,752,775,840,850,878,903,944,972,927,970,994,"1,018","1,044","1,104","1,151","1,162","1,224","1,255","1,297","1,232","1,364","1,519","1,578"
East ,E07000075,Rochford,774,802,843,879,887,951,961,994,"1,029","1,052","1,089","1,030","1,059","1,082","1,153","1,215","1,267","1,340","1,405","1,450","1,486","1,565","1,535","1,682","1,942","2,505"
East ,E06000031,Peterborough,"3,503","3,669","3,703","3,883","3,982","4,141","4,446","4,925","5,447","5,545","5,461","5,043","5,211","5,401","5,570","5,585","6,008","5,917","6,347","6,989","7,482","7,181","7,002","7,559","7,917","8,766"
East ,E07000008,Cambridge,"2,621","2,781","2,935","3,153","3,271","3,464","3,658","3,942","4,278","4,493","4,667","4,750","4,888","5,031","5,276","5,536","5,669","5,970","6,159","6,542","6,646","7,162","7,316","7,628","8,437","9,425"
East ,E07000009,East Cambridgeshire,"1,050","1,076","1,130","1,195","1,302","1,340","1,320","1,397","1,468","1,510","1,601","1,583","1,612","1,680","1,713","1,773","1,863","1,924","2,003","2,101","2,144","2,326","2,310","2,339","2,410","2,652"
East ,E07000010,Fenland,"1,058","1,092","1,163","1,222","1,299","1,356","1,381","1,439","1,498","1,552","1,609","1,605","1,675","1,744","1,797","1,887","1,939","1,949","1,975","2,065","2,050","2,121","2,039","2,222","2,381","2,596"
East ,E07000011,Huntingdonshire,"2,379","2,513","2,640","2,765","2,884","3,029","3,128","3,277","3,505","3,641","3,754","3,699","3,896","3,993","4,068","4,136","4,369","4,495","4,767","4,944","5,019","5,386","5,132","5,443","5,734","6,256"
East ,E07000012,South Cambridgeshire,"2,552","2,682","2,798","2,931","3,110","3,244","3,414","3,563","3,817","4,005","4,143","4,040","4,264","4,348","4,675","4,688","4,809","5,094","5,318","5,644","5,785","6,029","6,099","6,512","7,245","7,733"
East ,E07000144,Broadland,"1,418","1,439","1,547","1,599","1,706","1,821","1,865","1,926","2,107","2,237","2,433","2,627","2,658","2,605","2,707","2,901","2,912","3,062","3,328","3,773","3,609","4,422","4,015","4,560","4,896","5,434"
East ,E07000145,Great Yarmouth,"1,070","1,102","1,161","1,214","1,276","1,351","1,426","1,466","1,584","1,634","1,731","1,715","1,763","1,824","2,006","2,031","2,096","2,077","1,938","1,960","1,913","2,048","1,916","2,103","2,474","2,699"
East ,E07000148,Norwich,"2,025","2,138","2,272","2,401","2,489","2,623","2,779","3,001","3,260","3,343","3,358","3,330","3,390","3,498","3,650","3,890","4,052","4,107","4,177","4,434","4,412","4,649","4,332","4,484","4,853","5,279"
East ,E07000146,King's Lynn and West Norfolk,"1,897","1,963","2,063","2,119","2,218","2,340","2,356","2,485","2,581","2,661","2,778","2,770","2,826","2,927","3,061","3,168","3,241","3,277","3,398","3,445","3,490","3,622","3,455","3,596","3,894","4,149"
East ,E07000147,North Norfolk,"1,000","1,033","1,093","1,141","1,208","1,257","1,282","1,342","1,406","1,450","1,520","1,467","1,499","1,544","1,576","1,594","1,688","1,714","1,761","1,824","1,836","1,868","1,795","1,961","2,067","2,217"
East ,E07000143,Breckland,"1,315","1,385","1,480","1,572","1,649","1,717","1,761","1,851","1,996","2,054","2,136","2,126","2,181","2,268","2,289","2,377","2,492","2,581","2,694","2,770","2,778","2,956","2,912","3,139","3,380","3,697"
East ,E07000149,South Norfolk,"1,443","1,541","1,656","1,723","1,814","1,935","2,020","2,120","2,247","2,309","2,350","2,302","2,394","2,480","2,616","2,700","2,804","2,817","2,899","3,004","3,036","3,243","3,218","3,480","3,833","4,237"
East ,E07000200,Babergh,"1,106","1,157","1,218","1,274","1,324","1,369","1,398","1,431","1,510","1,554","1,585","1,534","1,630","1,672","1,703","1,746","1,830","1,855","1,898","1,938","1,935","2,052","1,984","2,157","2,323","2,487"
East ,E07000203,Mid Suffolk,"1,161","1,221","1,308","1,352","1,432","1,487","1,526","1,588","1,662","1,724","1,800","1,755","1,810","1,871","1,938","1,980","2,068","2,140","2,212","2,345","2,472","2,603","2,489","2,646","2,888","3,189"
East ,E07000202,Ipswich,"2,210","2,323","2,398","2,495","2,569","2,732","2,945","3,243","3,553","3,583","3,550","3,433","3,390","3,442","3,584","3,816","4,059","4,222","4,506","4,580","4,640","4,820","4,686","4,676","5,090","5,928"
East ,E07000244,East Suffolk,"3,034","3,177","3,365","3,470","3,643","3,857","3,994","4,220","4,408","4,534","4,603","4,412","4,553","4,747","4,919","5,097","5,226","5,253","5,359","5,642","5,749","6,169","5,779","6,261","6,943","7,264"
East ,E07000245,West Suffolk,"2,754","2,888","3,071","3,228","3,379","3,501","3,621","3,804","4,097","4,225","4,420","4,386","4,513","4,670","4,853","5,079","5,212","5,475","5,790","6,024","6,100","6,358","5,756","6,110","6,527","6,812"
London,E09000013,Hammersmith and Fulham,"3,975","4,311","4,619","4,878","5,074","5,372","5,623","5,930","5,973","6,533","6,968","6,788","7,000","7,419","8,041","8,646","9,432","9,997","10,240","10,930","11,676","12,496","11,767","12,184","12,732","14,670"
London,E09000020,Kensington and Chelsea,"4,164","4,441","4,777","5,001","5,163","5,337","5,641","5,954","6,209","6,880","7,350","6,854","7,070","7,576","8,663","9,529","10,218","10,340","10,328","10,341","11,129","10,580","9,018","9,670","11,756","12,309"
London,E09000032,Wandsworth,"3,604","3,925","4,179","4,423","4,629","4,826","5,010","5,345","5,595","6,091","6,268","5,951","6,125","6,492","7,024","7,407","7,969","8,483","8,645","8,560","8,761","8,799","7,708","8,395","9,333","10,349"
London,E09000001,City of London,"24,521","24,990","28,092","27,873","29,137","31,514","33,859","38,489","43,145","47,725","46,644","49,387","52,956","54,241","54,179","57,894","61,275","61,922","66,912","70,890","75,170","79,581","82,796","92,044","99,321","110,766"
London,E09000033,Westminster,"26,858","28,591","31,422","32,476","33,613","35,269","36,754","40,178","41,777","46,238","48,226","47,097","49,313","51,012","53,808","56,674","60,974","61,009","68,064","70,691","73,549","76,895","71,379","79,438","90,903","97,121"
London,E09000007,Camden,"10,631","11,332","12,341","12,940","13,371","14,274","15,330","16,512","17,047","18,699","19,385","19,207","19,740","20,742","21,467","23,193","25,630","29,599","33,158","34,552","35,655","35,924","29,983","33,894","39,173","41,594"
London,E09000012,Hackney,"2,788","2,986","3,223","3,387","3,531","3,758","3,925","4,225","4,405","4,764","4,950","4,861","5,150","5,544","5,714","5,957","6,565","6,871","7,283","7,864","8,813","10,074","9,986","10,945","12,624","14,270"
London,E09000025,Newham,"3,109","3,243","3,464","3,621","3,774","3,966","4,087","4,310","4,449","4,758","5,017","4,843","5,129","5,461","5,838","6,011","6,303","6,636","6,851","7,244","7,478","7,891","7,239","7,990","9,020","9,739"
London,E09000030,Tower Hamlets,"12,796","13,197","14,741","14,954","15,624","16,657","17,899","20,040","22,052","24,447","25,393","26,500","27,677","30,020","29,439","31,033","32,982","33,502","35,672","38,549","37,716","37,282","35,966","36,586","40,812","46,180"
London,E09000014,Haringey,"2,151","2,306","2,431","2,567","2,666","2,774","2,898","3,069","3,130","3,388","3,447","3,287","3,518","3,714","3,913","3,952","4,310","4,511","4,466","4,657","4,832","4,901","4,329","4,719","5,405","5,593"
London,E09000019,Islington,"7,645","8,039","8,910","9,161","9,501","10,044","10,570","11,284","11,812","13,074","13,833","13,719","14,333","15,139","15,594","16,892","18,124","19,013","19,473","19,699","20,765","21,247","19,504","21,194","25,680","27,222"
London,E09000023,Lewisham,"2,062","2,187","2,324","2,493","2,591","2,770","2,883","3,074","3,220","3,449","3,558","3,356","3,532","3,786","3,985","4,053","4,316","4,456","4,457","4,490","4,570","4,699","4,339","4,477","4,817","5,038"
London,E09000028,Southwark,"7,128","7,597","8,427","8,726","9,024","9,473","9,986","10,846","11,294","12,555","13,241","13,280","14,117","15,587","16,343","16,923","16,652","17,937","19,078","19,533","21,265","22,555","20,489","21,369","24,184","27,256"
London,E09000022,Lambeth,"5,146","5,522","6,038","6,432","6,541","6,926","7,320","7,962","8,124","9,074","9,624","9,375","10,190","10,913","11,146","10,633","12,000","12,451","13,112","13,404","13,827","13,833","12,114","13,628","16,011","16,429"
London,E09000004,Bexley,"3,452","3,646","3,794","3,947","4,101","4,322","4,434","4,673","4,917","5,167","5,283","5,005","5,174","5,292","5,701","6,304","6,435","6,700","7,074","6,887","6,922","7,127","6,400","6,746","7,153","7,570"
London,E09000011,Greenwich,"2,968","3,150","3,267","3,370","3,542","3,761","3,960","4,192","4,453","4,634","4,757","4,438","4,753","4,975","5,093","5,264","5,509","5,689","5,929","6,293","6,517","6,833","5,863","6,421","7,294","7,493"
London,E09000002,Barking and Dagenham,"2,635","2,614","2,606","2,604","2,603","2,690","2,814","2,842","3,113","3,272","3,338","3,100","3,462","3,591","3,786","4,108","4,173","4,138","4,031","4,017","4,110","4,183","3,585","4,121","4,614","4,914"
London,E09000016,Havering,"3,368","3,571","3,714","3,851","3,995","4,236","4,394","4,630","4,885","5,132","5,063","4,684","4,870","4,921","5,284","5,456","5,798","5,956","6,217","6,349","6,599","6,762","6,193","7,034","8,075","8,357"
London,E09000026,Redbridge,"2,970","3,163","3,304","3,409","3,579","3,805","4,001","4,185","4,438","4,626","4,638","4,279","4,448","4,604","4,944","5,071","5,229","5,538","5,697","5,826","5,947","5,856","5,203","5,849","6,570","7,038"
London,E09000031,Waltham Forest,"2,423","2,563","2,661","2,779","2,924","3,104","3,246","3,417","3,622","3,814","3,782","3,476","3,646","3,799","4,095","4,239","4,477","4,715","4,835","4,915","5,045","5,199","4,529","5,013","5,721","6,122"
London,E09000010,Enfield,"4,243","4,510","4,713","4,911","5,143","5,508","5,749","6,007","6,393","6,766","6,766","6,185","6,595","6,758","7,026","7,291","7,658","8,064","8,267","8,260","8,830","9,122","8,205","8,945","9,531","9,818"
London,E09000006,Bromley,"4,995","5,307","5,400","5,568","5,874","6,260","6,536","6,829","7,314","7,618","7,573","7,064","7,280","7,474","7,852","8,119","8,252","8,414","8,814","9,131","9,314","9,134","8,211","8,415","9,435","9,938"
London,E09000008,Croydon,"5,677","5,989","6,319","6,528","6,721","7,136","7,438","7,834","8,139","8,731","8,674","8,241","8,284","8,384","8,569","8,764","9,595","9,685","9,934","10,215","10,973","11,589","10,755","11,426","12,825","13,664"
London,E09000021,Kingston upon Thames,"2,930","3,117","3,282","3,384","3,510","3,710","3,905","4,078","4,289","4,573","4,641","4,381","4,447","4,565","4,673","4,683","5,049","5,118","5,699","5,730","5,870","5,954","5,206","5,087","5,805","6,275"
London,E09000024,Merton,"3,462","3,693","3,854","3,960","4,025","4,193","4,332","4,550","4,753","5,026","5,052","4,660","4,835","4,992","5,248","5,589","5,988","6,139","6,308","6,240","6,335","6,545","5,852","6,399","6,947","7,590"
London,E09000029,Sutton,"2,759","2,922","3,094","3,185","3,293","3,472","3,605","3,791","3,983","4,218","4,236","3,912","4,037","4,135","4,286","4,360","4,585","4,589","4,810","4,934","4,937","5,049","4,602","4,967","5,666","6,191"
London,E09000003,Barnet,"4,767","5,124","5,328","5,517","5,776","6,120","6,360","6,642","7,100","7,443","7,384","6,998","7,312","7,557","8,168","8,381","8,906","9,203","9,604","9,699","10,007","10,213","9,616","10,401","11,884","12,292"
London,E09000005,Brent,"4,542","4,907","5,158","5,327","5,524","5,722","5,849","6,165","6,559","6,848","6,863","6,440","6,732","6,969","7,530","7,925","8,618","9,091","9,493","9,644","9,643","10,132","9,222","9,689","10,945","11,600"
London,E09000009,Ealing,"5,305","5,655","5,903","6,101","6,292","6,612","6,810","7,067","7,452","7,833","7,881","7,349","7,645","7,944","8,527","9,050","9,715","10,140","10,576","10,380","10,486","10,467","9,927","10,131","11,161","11,376"
London,E09000015,Harrow,"3,021","3,211","3,310","3,418","3,593","3,847","4,002","4,156","4,375","4,635","4,618","4,267","4,521","4,688","4,827","4,948","5,377","5,646","5,873","5,975","6,080","6,168","5,489","5,968","6,542","7,017"
London,E09000017,Hillingdon,"9,360","9,865","10,328","10,380","10,564","11,026","11,438","11,884","12,129","12,655","12,643","11,504","12,099","12,784","12,961","13,722","15,014","15,180","14,802","15,495","15,841","16,053","11,868","12,073","14,618","15,605"
London,E09000018,Hounslow,"6,760","7,260","7,832","8,154","8,428","8,678","8,864","9,349","10,499","11,374","12,111","11,770","12,272","12,649","13,427","14,688","15,973","16,835","17,780","17,955","17,713","18,485","13,921","13,747","17,171","18,058"
London,E09000027,Richmond upon Thames,"3,605","3,832","4,037","4,158","4,261","4,467","4,664","4,898","5,172","5,490","5,488","5,261","5,313","5,499","5,930","6,143","6,373","6,771","7,225","7,601","8,325","8,261","7,159","7,464","8,281","8,462"
South East ,E06000042,Milton Keynes,"5,547","5,769","6,145","6,541","7,014","7,607","7,622","8,013","8,419","8,881","9,171","8,831","9,297","9,713","9,987","10,575","11,765","13,096","12,930","13,996","14,534","14,955","14,282","15,286","16,973","17,878"
South East ,E06000060,Buckinghamshire,"9,178","9,650","10,129","10,499","10,817","11,331","11,512","12,134","12,548","13,140","13,764","13,394","13,631","14,233","14,585","15,061","15,574","15,773","16,138","16,402","17,011","18,310","17,654","18,761","19,960","21,363"
South East ,E07000177,Cherwell,"2,712","2,829","2,975","3,044","3,172","3,290","3,333","3,458","3,543","3,716","3,937","3,789","3,923","4,056","4,213","4,383","4,708","4,815","4,939","5,056","5,283","5,670","5,640","5,780","6,207","6,743"
South East ,E07000178,Oxford,"2,798","2,952","3,168","3,348","3,648","3,916","4,066","4,208","4,380","4,560","4,917","4,864","5,103","5,297","5,483","5,734","6,269","6,398","6,515","6,570","6,868","7,427","7,549","8,036","8,979","9,147"
South East ,E07000179,South Oxfordshire,"2,400","2,515","2,586","2,579","2,742","2,880","2,882","3,039","3,109","3,263","3,368","3,236","3,379","3,540","3,586","3,807","4,003","4,307","4,009","4,182","4,345","4,799","5,016","5,109","5,366","5,586"
South East ,E07000180,Vale of White Horse,"2,435","2,530","2,634","2,709","2,840","3,007","3,050","3,242","3,353","3,523","3,701","3,650","3,799","3,954","4,201","4,355","4,339","4,498","4,433","4,633","4,854","4,929","5,232","5,340","6,154","6,486"
South East ,E07000181,West Oxfordshire,"1,617","1,649","1,727","1,785","1,895","1,959","1,962","2,056","2,136","2,254","2,414","2,311","2,390","2,506","2,605","2,690","2,832","2,892","2,978","3,056","3,238","3,455","3,362","3,433","3,779","4,116"
South East ,E06000036,Bracknell Forest,"2,875","3,039","3,151","3,284","3,479","3,723","3,702","3,865","4,001","4,244","4,420","4,301","4,487","4,691","4,876","4,924","5,057","5,420","5,228","5,507","5,642","5,717","5,294","5,575","5,681","5,969"
South East ,E06000039,Slough,"4,693","5,070","5,492","5,593","5,833","6,188","6,337","6,621","6,844","7,121","7,378","7,291","7,398","7,797","7,803","8,027","8,337","8,213","8,398","8,367","8,737","9,272","9,792","10,104","10,548","11,437"
South East ,E06000040,Windsor and Maidenhead,"3,625","3,838","4,005","4,134","4,302","4,627","4,687","4,961","5,096","5,358","5,586","5,517","5,645","5,931","6,188","6,604","6,659","7,006","7,513","8,197","8,289","8,221","7,896","8,263","8,537","8,700"
South East ,E06000037,West Berkshire,"3,985","4,306","4,566","4,608","4,755","4,966","5,165","5,513","5,781","6,011","6,199","6,058","6,164","6,480","6,961","7,183","7,182","7,731","7,752","7,753","8,167","9,024","9,386","9,291","9,114","10,227"
South East ,E06000038,Reading,"3,834","4,176","4,527","4,537","4,616","4,921","5,239","5,614","5,813","6,066","6,359","6,448","6,448","6,732","7,125","7,285","7,804","7,828","8,185","8,172","9,028","9,182","8,761","9,437","10,369","11,599"
South East ,E06000041,Wokingham,"3,104","3,306","3,413","3,537","3,730","4,126","4,271","4,546","4,806","5,152","5,234","5,167","5,296","5,554","5,797","5,550","6,108","6,235","6,543","6,942","7,693","8,688","9,006","9,458","9,918","10,945"
South East ,E06000043,Brighton and Hove,"3,770","4,019","4,225","4,515","4,694","4,867","5,063","5,397","5,794","6,013","6,318","6,320","6,423","6,621","7,100","7,561","7,909","8,152","8,606","9,006","9,363","9,855","9,564","10,367","11,979","13,272"
South East ,E07000061,Eastbourne,"1,059","1,126","1,185","1,245","1,311","1,382","1,427","1,510","1,585","1,639","1,729","1,676","1,719","1,776","1,775","1,816","1,873","1,868","2,056","2,143","2,151","2,281","2,263","2,397","2,530","2,702"
South East ,E07000062,Hastings,880,916,946,986,"1,047","1,092","1,143","1,179","1,230","1,260","1,356","1,329","1,377","1,450","1,446","1,472","1,556","1,622","1,744","1,772","1,784","1,863","1,790","1,931","2,019","2,207"
South East ,E07000063,Lewes,"1,059","1,119","1,181","1,251","1,288","1,343","1,369","1,433","1,484","1,531","1,620","1,554","1,593","1,613","1,634","1,703","1,778","1,890","1,954","2,054","2,156","2,254","2,242","2,277","2,559","2,827"
